asin,brand_name,description,feature,name,price,stock,category,rating
B00009W3I4,HEARTLAND,"Replace your old vent with the Heartland Natural Vent. This easy-to-install dryer vent closure features a square base with pre-drilled holes for your convenience. The Heartland Natural Vent will last throughout all seasons, letting warm air escape when open and preventing cold air from entering when closed. <br><br> Additionally, this vent will provide critter protection, keeping insects and other pests from entering your home through the dryer vent. Looking for some savings? This energy saving dryer vent closure is designed to get the job done effectively and efficiently. Do your wallet a favor with the Heartland Natural Vent.</>This easy-to-install dryer vent closure lets warm air escape when open and prevents cold air from entering when closed. It also prevents insects from entering through the dryer vent.","EASY-TO-INSTALL  Dryer vent closure with hassle-free installation.,VENTILATION  Lets warm air escape when open.,KEEPS COLD OUT  Prevents cold air from entering when closed and saves energy.,NO PESTS  Prevents insects and pests from entering through dryer vent.,VERTICAL INSTALLATION- Vent must be installed vertically and sliding may need to cut for proper installation.",HEARTLAND 21000 Energy Saving Dryer Vent Closure,36.2,100,Appliances,5.0
B00009W3PA,Certified Appliance Accessories,"Some people are surprised to learn that a new dryer may not come with a power cord. This 6 ft. 3-Wire Closed-Eyelet 30-Amp Dryer Cord from Certified Appliance Accessories connects a dryer to an outlet. The 90 plug keeps the cord close to the wall. It is UL (Underwriters Laboratories) listed and ETL (Intertek Testing Services) listed plus meets or exceeds manufacturer safety and installation requirements.</>3-Wire, 6 foot dryer cord is 30 Amps 250V with a closed eyelet.","250 volt,90 angle on 1 end, 3 preattached copper eyelets on the other,Simple design ensures easy installation,Includes strain-relief clamp & screws,Retail Printed Polybag,UL Listed, ETL Listed,5 year warranty- From the Manufacturer","Certified Appliance Accessories 3-Wire Closed-Eyelet 30-Amp Dryer Cord, 6ft",15.26,100,Appliances,5.0
B0006GVNOA,LintEater,"</>The most valuable tool you can own to ensure the safe operation of your clothes dryer is the LintEater. The LintEater, designed for homeowners by a leading manufacturer of professional duct cleaning equipment, makes the regular maintenance of your dryer vent system easy. It effectively removes dangerous lint buildup in almost every type of dryer vent, eliminating a leading cause of house fires. The auger brush and flexible extension rods screw together and spin when powered by your cordless drill (not included). The rotating action of the auger brush and flexible rods scours your entire vent wall surface while traversing the multiple turns that are common in most dryer vent systems. Completely remove all loosened lint from the vent while brushing with the included shop vac or blower adapter. Exceptional reach also makes it a snap to clean behind, underneath and all around your dryer, appliances, baseboard heating vents and other hard-to-reach areas. Reduce drying times and save money on utility bills while ensuring the safety of your home: its easy when cleaning with Gardus power!</>Linteater: Everything you need to clean and maintain your dryer vent system with professional results!</></></></></></></></></></>Gardus, Inc. is a leading manufacturer of rotary cleaning tools that work with your cordless drill. Our growing line of innovative products continues to solve age old problems that focus on safety, effectiveness and ease of use. Many of our products have been developed with over 15 years experience in the field, so you can be sure you're getting proven technology with professional results.</>By utilizing the power of a cordless drill, our tools have endless versatility and expand-ability. Now you can 'Clean with Power' without stepping foot on a ladder.</>We're proud to be in a position where we can provide unique products that prevent fires while saving customers money on utility costs and not having to hire a professional.</>Our goal is to provide quality products at an affordable price while maintaining the highest level of customer satisfaction.","Most valuable tool you can own to ensure the safe operation of your clothes dryer; Reduce drying times and save money on utility bills while ensuring the safety of your home,Easy to use with your cordless drill and provides a means for regular cleaning of your dyer vent system; Included adapters enable you to use the air from the clothes dryer, shop vacuum or electric blower to completely remove lint from the vent while rotary cleaning at the same time,Effectively removes dangerous lint buildup in almost every type of dryer vent, eliminating a leading cause of house fires; Rotating action of the auger brush and flexible rods scours your entire vent wall surface while traversing the multiple turns that are common in most dryer vent systems,Exceptional reach also makes it a snap to clean behind, underneath and all around your dryer, appliances, baseboard heating vents and other hard-to-reach areas,Includes: 4 Qty. 3-Long Flexible Screw-Connect Rods; 1 Qty. Blockage Removal Tool; 1 Qty. Vacuum Adapter; 1 Qty. Self-Feeding 4 Auger Brush; 1 Qty. 2  Diameter Lint Trap Brush; 1 Qty. Dryer Adapter; 1 Qty. Operator's Manual,<span class=""a-size-base a-color-secondary"">
                Four 36 inch long flexible rods
            </span>,<span class=""a-size-base a-color-secondary"">
                Self-feeding 4 inch diameter Auger Brush
            </span>,<span class=""a-size-base a-color-secondary"">
                Large 2 1/2 inch diameter Lint Trap Brush
            </span>,<span class=""a-size-base a-color-secondary"">
                Vacuum Adapter
            </span>,<span class=""a-size-base a-color-secondary"">
                Dryer Adapter
            </span>,<span class=""a-size-base a-color-secondary"">
                Operator's Manual
            </span>,<span class=""a-size-base a-color-secondary"">
                12 foot extension rod kit (R3203612) available for vents longer than 12 feet (sold separately)
            </span>,<span class=""a-size-base a-color-secondary"">
                Reduces Drying Times
            </span>,<span class=""a-size-base a-color-secondary"">
                Saves Money on Utility Bills
            </span>,<span class=""a-size-base a-color-secondary"">
                Navigates Multiple Turns in Dryer Vent
            </span>,<span class=""a-size-base a-color-secondary"">
                Prevents Dryer Related Fires (Safety Tips Below)
            </span>,<span class=""a-size-base a-color-secondary"">
                Can Also be Used for Other Cleaning Purposes
            </span>,<span class=""a-size-base a-color-secondary"">
                Hassle Free!
            </span>,<span class=""a-size-base a-color-secondary"">
                Dryer Vents
            </span>,<span class=""a-size-base a-color-secondary"">
                In and Around Dryer
            </span>,<span class=""a-size-base a-color-secondary"">
                Under Appliances
            </span>,<span class=""a-size-base a-color-secondary"">
                Baseboard Heaters
            </span>,<span class=""a-size-base a-color-secondary"">
                Gutter Downspouts
            </span>,<span class=""a-size-base a-color-secondary"">
                Pellet Stove Vents
            </span>,<span class=""a-size-base a-color-secondary"">
                Clean the lint screen/filter before or after drying each load of clothes.
            </span>,<span class=""a-size-base a-color-secondary"">
                Clean the dryer vent and exhaust duct periodically.
            </span>,<span class=""a-size-base a-color-secondary"">
                Clean behind the dryer, where lint can build up.
            </span>,<span class=""a-size-base a-color-secondary"">
                Take special care when drying clothes that have been soiled with volatile chemicals.
            </span>,<span class=""a-size-base a-color-secondary"">
                Replace plastic or foil, accordion-type ducting material with a rigid or corrugated semi-rigid metal duct.
            </span>,<span class=""a-size-base a-color-secondary"">
                Turn the dryer off when leaving the home.
            </span>,<span class=""a-size-base a-color-secondary"">
                Make sure that the dryer is plugged into an outlet suitable for its electrical needs.
            </span>,<span class=""a-size-base a-color-secondary"">
                Gas-powered dryers should be inspected by a professional occasionally to ensure that the gas line and connection are intact and free of leaks.
            </span>",Gardus RLE202 LintEater Rotary Dryer Vent Cleaning System,29.09,100,Appliances,4.5
B0009GVYNW,Aprilaire,This genuine Aprilaire replacement water panel is the backbone of your Aprilaire humidifier. The heavy-duty aluminum mesh frame holds its shape over the life of the water panel as the porous ceramic-type coating absorbs water and maintains the proper level of hydration to support the evaporation process. Water is vaporized as air warmed by the furnace passes over the water panel. The humidified air is carried through the house through the air ducts.</>Water Panel Evaporators are the heart of your humidifier and the component which generates the important humidity to keep you comfortable during the heating season. The water panel slides into the scale control insert and the water distribution tray sits across the top of the panel.,"BUY WITH CONFIDENCE This genuine replacement water panel was designed and manufactured in the U.S.A. by Aprilaire  the leader in indoor air quality solutions, to optimize the performance of your Aprilaire Humidifier Model: 350, 360, 560, 568, 600, 600A, 700, 700A, 760, 768,PERFECT APRILAIRE FIT Water panel dimensions: 10"" H x 13"" W x 1.75"" W,FOR OPTIMAL PERFORMANCE replace water panel annually,HUMIDITY FOR HEALTH Aprilaire Humidifiers can help you maintain optimal humidity in your home of 35%  45% which has been shown to reduce the incidence of respiratory infections and symptoms related to allergies and asthma","Aprilaire 35 Replacement Water Panel for Aprilaire Whole House Humidifier Models 350, 360, 560, 568, 600, 600A, 600M, 700, 700A, 700M, 760, 768 (Pack of 1)",12.31,100,Appliances,4.0
B000N6302Q,NewAir,"The NewAir AI-100S portable ice maker is a compact unit that fits neatly on your countertop. Its portable design makes it the ideal choice for pool parties, BBQs or other outdoor get-togethers. This ice machine can produce up to 28 pounds of ice per day. No installation is required - just pour water into the tank and press the start button. Light-up indicators tell you when more water is needed, or when the ice bucket is full.</><span class=""a-size-small a-color-secondary"">
        The AI-100S makes a great dining centerpiece.
    </span></><a class=""a-link-normal"" target=""_blank"" rel=""noopener"" href=""https://images-na.ssl-images-amazon.com/images/G/01/aplusautomation/vendorimages/a2e82ec8-d2f2-411a-a62e-93ca06806d18.jpg._CB306342346_.jpg"">
            <img alt="""" src=""https://images-na.ssl-images-amazon.com/images/G/01/aplusautomation/vendorimages/a2e82ec8-d2f2-411a-a62e-93ca06806d18.jpg._CB306342346__SR220,220_.jpg"">
        </a>
    
    


                                        








    
    
        
    





    
        <div class=""a-text-center"">
            <a class=""a-link-normal"" target=""_blank"" rel=""noopener"" href=""https://images-na.ssl-images-amazon.com/images/G/01/aplusautomation/vendorimages/a2e82ec8-d2f2-411a-a62e-93ca06806d18.jpg._CB306342346_.jpg"">
                View larger
            </a>
        </div></><a class=""a-link-normal"" target=""_blank"" rel=""noopener"" href=""https://images-na.ssl-images-amazon.com/images/G/01/aplusautomation/vendorimages/3cc9e942-21f1-4e68-a972-603486c4edb4.png._CB306342664_.png"">
            <img alt="""" src=""https://images-na.ssl-images-amazon.com/images/G/01/aplusautomation/vendorimages/3cc9e942-21f1-4e68-a972-603486c4edb4.png._CB306342664__SR220,220_.png"">
        </a>
    
    


                                        








    
    
        
    





    
        <div class=""a-text-center"">
            <a class=""a-link-normal"" target=""_blank"" rel=""noopener"" href=""https://images-na.ssl-images-amazon.com/images/G/01/aplusautomation/vendorimages/3cc9e942-21f1-4e68-a972-603486c4edb4.png._CB306342664_.png"">
                View larger
            </a>
        </div></><a class=""a-link-normal"" target=""_blank"" rel=""noopener"" href=""https://images-na.ssl-images-amazon.com/images/G/01/aplusautomation/vendorimages/2fe7b289-04de-4707-b2f8-e8ddbbd3741f.jpg._CB306320708_.jpg"">
            <img alt="""" src=""https://images-na.ssl-images-amazon.com/images/G/01/aplusautomation/vendorimages/2fe7b289-04de-4707-b2f8-e8ddbbd3741f.jpg._CB306320708__SR220,220_.jpg"">
        </a>
    
    


                                        








    
    
        
    





    
        <div class=""a-text-center"">
            <a class=""a-link-normal"" target=""_blank"" rel=""noopener"" href=""https://images-na.ssl-images-amazon.com/images/G/01/aplusautomation/vendorimages/2fe7b289-04de-4707-b2f8-e8ddbbd3741f.jpg._CB306320708_.jpg"">
                View larger
            </a>
        </div></><a class=""a-link-normal"" target=""_blank"" rel=""noopener"" href=""https://images-na.ssl-images-amazon.com/images/G/01/aplusautomation/vendorimages/96f3c369-d81b-4fa2-95e8-f15b2491d7a8.png._CB306671824_.png"">
            <img alt="""" src=""https://images-na.ssl-images-amazon.com/images/G/01/aplusautomation/vendorimages/96f3c369-d81b-4fa2-95e8-f15b2491d7a8.png._CB306671824__SR220,220_.png"">
        </a>
    
    


                                        








    
    
        
    





    
        <div class=""a-text-center"">
            <a class=""a-link-normal"" target=""_blank"" rel=""noopener"" href=""https://images-na.ssl-images-amazon.com/images/G/01/aplusautomation/vendorimages/96f3c369-d81b-4fa2-95e8-f15b2491d7a8.png._CB306671824_.png"">
                View larger
            </a>
        </div>","Convenient, compact design is ideal for use in small kitchens & other compact spaces like RVs, boats & more,Produces 28 pounds of ice a day - never run to the store for a bag of ice again,Offers an easy-to-use LED control panel that allows you to choose from three ice size settings,Portable ice maker requires no installation - just plug in unit, add water & wait up to 15 minutes to enjoy fresh ice,Flawless design boasts a excellent reputation, offering consistent & dependable ice production that has been continually perfected,<span class=""a-size-base a-color-secondary"">
                A name you can trust
            </span>,<span class=""a-size-base a-color-secondary"">
                Family owned since 2002
            </span>,<span class=""a-size-base a-color-secondary"">
                Products backed by a 1 year warranty
            </span>,<span class=""a-size-base a-color-secondary"">
                All products are tested and have the appropriate safety certification
            </span>,<span class=""a-size-base a-color-secondary"">
                Outstanding customer support
            </span>,<span class=""a-size-base a-color-secondary"">
                Produces up to 28 pounds of ice per day
            </span>,<span class=""a-size-base a-color-secondary"">
                Makes 9 pieces of ice in 15 minutes
            </span>,<span class=""a-size-base a-color-secondary"">
                Removable ice bin for easy dispensing
            </span>,<span class=""a-size-base a-color-secondary"">
                3 ice sizes to choose from
            </span>,<span class=""a-size-base a-color-secondary"">
                Freestanding and portable design
            </span>","NewAir AI-100S 28-Pound Portable Ice Maker, Silver",0.0,100,Appliances,1.2857142857142858
B000NCTOUM,Whirlpool,"Dryer thermal fuse. This thermal fuse replaces an existing fuse in your dryer. The fuse mounts to your dryer's blower housing. Be sure to unplug your dryer before installing the fuse. Check your exhaust vent duct system for clogs during installation. Replaces most whirlpool, kenmore, kitchen aid dryers.","Replaces most Whirlpool, Kenmore, and Kitchen Aid dryers,Genuine replacement part,Manufacturer model number 3392519",Whirlpool 3392519 Kenmore Dryer Thermofuse,5.5,100,Appliances,4.428571428571429
B000VL060M,Broan,"Carbon odor filter for range hoods and microwave ovens, 8-3/4"" x 10-1/2"", made in USA, NOT washable nor reusable, replace every 6 months, after-market replacement for Broan S97007696</>This is a genuine replacement part. The model number and name for the following item is: Broand S97007696 Filter","Nullify,Made in US,Manufacturer model # S97007696,Genuine Replacement Part,Broan item replacement part,Manufacturer model # S97007696,Genuine Replacement Part,General Electric item",Broan S97007696 Filter,10.0,100,Appliances,5.0
B000VLI74Y,Venta,"Demineralization replacement cartridge for Venta UltraSonic models VS100, VS205, and VS207.","This are easy to use,This is highly durable,This is manufactured in China,Helps prevent ""white dust"" by filtering mineral deposits,Replace every 2 to 3 months for maximum efficiency,Easy to remove and install",Venta 1000535 Airwasher Demineralization Replacement Cartridge,17.99,100,Appliances,5.0
B000W3P4AQ,General Electric,"GE Cafe C2S980SEMSS Stainless Steel Slide-In Dual Fuel Range - C2S980SS. 6.0 Cu. Ft. Capacity. 18,000 BTU Power Boil Burner. PreciseAir Convection System. Self-Cleaning Oven. Deep Recessed Cooktop. Stainless Steel Finish","Dual-Fuel,PreciseAir(TM) Convection System - Delivers even air and heat circulation for superior baking and ro,Extra-Large Oven Capacity - Provides a large oven interior ideal for cooking more items at once,Self-Clean Oven - Conveniently cleans the oven cavity without need of scrubbing,Deep Recessed Cooktop - Designed with a recessed surface to help contain spills and make cleaning ea",GE Cafe : C2S980SEMSS 30 Free Standing Dual-Fuel Range w/5 Sealed Burners,0.0,100,Appliances,2.0
B000XTJRRA,AcuRite,"<b>Know Your Indoor Environment</b><br /><br /> With an AcuRite Pro Accuracy Indoor Temperature and Humidity Monitor with Alarms, you get reliable Information that can help you ensure a comfortable living space, and better air quality, all while taking steps to preserve your home's interior and valuable possessions. Compact, easy to use, and offering a variety of mounting options, it's a must-have for any home or office.<br /><br /> <b>Humidity Level Indicator</b><br /><br /> The humidity level indicator easily conveys whether humidity levels are too low (blue), ok (green), or too high (red) at the top of the display, based on relative humidity (RH) guidelines set by the Environmental Protection Agency (EPA) for health and comfort. <br /><br /></>","EASY TO READ: Measures indoor temperature and humidity from -4 to 158F (-20 to 70C) and 1-99% RH with large, bold numbers,PROFESSIONAL ACCURACY: Provides accuracy of +/- 0.5F, +/- 2% RH with manual calibration option for data you can trust,UP-TO-DATE INFORMATION: Measures conditions every 10 seconds to quickly identify changes in temperature and humidity, as well as displays high / low records for past 24 hours and for all-time,ALARM NOTIFICATIONS: Custom, programmable high and low humidity alarms to let you know when humidity levels are outside of your desired ranges, and a colorful humidity level indicator (LOW / OK / HIGH) at the top of the display provides at-a-glance information so you know whether humidity levels are within recommended ranges,INDUSTRY-LEADING SUPPORT  Includes a limited 1 year warranty as well as access to our knowledgeable US-based customer service team.","AcuRite 01080M Pro Accuracy Temperature and Humidity Gauge with Alarms, Black",18.99,100,Appliances,4.0
